author,published_at,updated_at,like_count,text
@user-pm8jn1br7h,2023-07-07T01:12:51Z,2023-07-07T01:12:51Z,0,genial parce
@gregoriadelvallehernandezm8976,2021-08-29T17:29:03Z,2021-08-29T17:29:03Z,9,Muy buena música
@cruzmora65,2023-03-06T19:57:10Z,2023-03-06T19:57:10Z,17,"Soy de Venezuela y la musica latina es lo mejor, orgulloso de ser latino"
@QTINYK,2023-08-19T15:47:26Z,2023-08-19T15:47:26Z,0,Muy Bueno!
@EstupendoMusica1212,2023-12-20T03:29:28Z,2023-12-20T03:29:28Z,0,"Whoever is reading this, I hope you find peace and harmony for your day. Whatever you&#39;re going through right now, I promise, it&#39;ll be okay. Peace be with you, my friend."
@marialuciabellusispada5764,2021-06-02T15:24:49Z,2021-06-02T15:24:49Z,5,MUY BUENO
@yudeisandoval9293,2022-04-04T23:44:59Z,2022-04-04T23:44:59Z,0,Mi afecto y cariño para ustedes 💕 bendiciones
@dfhtrbgfthdgeeeeeeeeeeeeee,2022-10-01T07:45:31Z,2022-10-01T07:45:31Z,91,No me arrepiento de haber nacido latino! Tenemos los mejores ritmos del mundo! 🔥❤
@PatriciaAlmiron-gk9ht,2023-11-21T09:32:23Z,2023-11-21T09:32:23Z,0,Muy buenos
@elenamodelo4113,2021-10-03T13:52:16Z,2021-10-03T13:52:16Z,2,Bonita canción
@lindabru1036,2021-12-14T22:55:15Z,2021-12-14T22:55:15Z,1,Salsota ❤❤❤😍😍😍😍
@ing9212,2023-03-07T15:25:32Z,2023-03-07T15:25:32Z,0,Que rolon!!!!!daddy and Marc Anthony!!!
@andrescastelan205,2023-02-28T10:03:32Z,2023-02-28T10:03:32Z,1,", buena salsa"
@user-jh4mh2pt4g,2023-04-08T17:29:08Z,2023-04-08T17:29:08Z,0,lo mejor de lo mejor
@margaritaramos8357,2021-07-20T18:24:14Z,2021-07-20T18:24:14Z,11,LA MEJOR MUSICA PARA RELAJARSE
@diliamelendez3905,2023-05-07T18:18:33Z,2023-05-07T18:18:33Z,1,I love Salsa!
@williamgonzalez6849,2021-05-29T21:12:39Z,2021-05-29T21:12:39Z,6,Nice music God bless you both
@isabelgloriaforradellas4968,2023-01-05T15:58:12Z,2023-01-05T15:58:12Z,0,"Y tampoco he visto nunca en mezclas de el género qué sea de los qué he visto qué pongan videos enteros o trozos de los vídeos oficiales de los cantantes cómo veo aquí, saludos 👋 desde España 🇪🇦."
@ManoloPerez-zt1nz,2023-03-18T12:48:40Z,2023-03-18T12:48:40Z,0,Buena suerte
@johanyisabelmendozabarboza913,2021-10-02T21:49:10Z,2021-10-02T21:49:10Z,3,Lindo tema 😘
@keniamarquez4949,2022-11-05T23:18:57Z,2022-11-05T23:18:57Z,1,me encanta
@lizeth5525,2021-05-27T00:51:41Z,2021-05-27T00:51:41Z,5,Me encanta un poco la salsa ☺️
@ladiosao7984,2023-07-31T05:40:46Z,2023-07-31T05:40:46Z,0,Bellas canciones😅
@guillerminarevilla6512,2021-07-07T15:53:10Z,2021-07-07T15:53:10Z,8,Me encanta
@kandyvera7879,2023-06-19T01:02:29Z,2023-06-19T01:02:29Z,15,ORGULLOSA DE SER ECUATORIANA LATINA DE CORAZON
@mrnerja831,2021-10-07T07:02:20Z,2021-10-07T07:02:20Z,1,TENIA MUCHO Y LO HE TIRADO Y AHORA NO ME APAÑO CON LO QUE ME HA QUEDADO
@mamichityperez5090,2021-10-06T02:11:46Z,2021-10-06T02:11:46Z,5,Me encantó ❤🍹🐬
@camilocapera848,2023-08-10T10:33:21Z,2023-08-10T10:33:21Z,0,adoro la salsa
@dianamarin4922,2021-06-30T10:58:23Z,2021-06-30T10:58:23Z,4,Super 👌
@freddynavarroropero1792,2021-05-28T19:24:08Z,2021-05-28T19:24:08Z,3,la amo
@ericabarros387,2021-06-16T18:26:10Z,2021-06-16T18:26:10Z,11,Me encanta!🙂
